,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,133,"PAX Gold
PAXG","$2,793.49",0.24%,1.63%,1.45%,"$565,348,982","$21,377,066
7,652 PAXG","202,381 PAXG",
,134,"Gnosis
GNO",$215.76,0.18%,5.33%,3.97%,"$558,226,910","$5,982,549
27,728 GNO","2,587,289 GNO",
,135,"ZKsync
ZK",$0.1472,0.15%,9.92%,2.92%,"$540,890,683","$49,420,332
335,778,978 ZK","3,675,000,000 ZK",
,136,"Synthetix
SNX",$1.59,0.05%,6.53%,0.30%,"$539,507,835","$42,569,051
26,817,726 SNX","339,466,217 SNX",
,137,"PayPal USD
PYUSD",$0.9999,0.02%,0.01%,0.00%,"$516,551,168","$28,040,556
28,042,217 PYUSD","516,581,777 PYUSD",
,138,"Axelar
AXL",$0.558,0.63%,6.18%,4.44%,"$505,741,417","$17,029,604
30,606,554 AXL","906,305,965 AXL",
,139,"SuperVerse
SUPER",$1.00,0.62%,9.69%,2.36%,"$503,201,827","$44,841,825
44,722,334 SUPER","501,860,934 SUPER",
,140,"TrueUSD
TUSD",$0.9986,0.01%,0.05%,0.09%,"$494,841,269","$58,853,935
58,927,406 TUSD","495,516,083 TUSD",
,141,"APENFT
NFT",$0.064931,0.15%,4.65%,1.29%,"$493,209,696","$31,145,492
63,303,985,868,119 NFT","999,990,000,000,000 NFT",
,142,"Toshi
TOSHI",$0.001198,1.60%,8.74%,219.86%,"$488,846,553","$63,838,051
53,289,418,619 TOSHI","408,069,300,000 TOSHI",
,143,"Kava
KAVA",$0.431,0.38%,7.47%,6.55%,"$466,726,987","$27,174,263
63,047,040 KAVA","1,082,853,819 KAVA",
,144,"Mog Coin
MOG",$0.051172,0.67%,8.33%,26.58%,"$457,737,598","$26,590,525
22,688,534,959,391 MOG","390,567,526,433,217 MOG",
,145,"Notcoin
NOT",$0.004447,0.09%,5.61%,11.28%,"$455,579,643","$57,764,650
12,990,901,643 NOT","102,456,957,530 NOT",
,146,"1inch Network
1INCH",$0.3143,0.17%,6.50%,0.45%,"$439,689,314","$27,309,625
86,882,496 1INCH","1,398,822,044 1INCH",
,147,"Oasis
ROSE",$0.06169,0.42%,8.97%,4.50%,"$435,762,314","$41,001,644
664,676,691 ROSE","7,064,132,681 ROSE",
,148,"Trust Wallet Token
TWT",$1.03,0.17%,4.56%,1.54%,"$431,006,597","$19,844,114
19,239,387 TWT","416,649,900 TWT",
,149,"Terra Classic
LUNC",$0.00007797,0.43%,6.26%,4.49%,"$429,092,322","$19,431,315
249,201,826,093 LUNC","5,503,003,366,392 LUNC",
,150,"Livepeer
LPT",$11.35,0.43%,9.05%,4.04%,"$427,998,027","$33,460,327
2,947,778 LPT","37,705,643 LPT",
,151,"Safe
SAFE",$0.8059,0.04%,5.48%,0.43%,"$425,049,203","$14,567,077
18,075,475 SAFE","527,419,089 SAFE",
,152,"VeThor Token
VTHO",$0.004937,0.09%,4.32%,23.98%,"$422,979,716","$72,128,894
14,642,187,934 VTHO","85,671,642,877 VTHO",
,153,"Grass
GRASS",$1.72,0.72%,4.38%,10.38%,"$420,605,608","$25,244,103
14,638,809 GRASS","243,905,091 GRASS",
,154,"Kusama
KSM",$26.03,0.70%,9.24%,3.02%,"$417,737,144","$18,369,129
705,580 KSM","16,045,784 KSM",
,155,"aixbt by Virtuals
AIXBT",$0.4863,0.16%,9.20%,32.87%,"$415,585,296","$238,075,023
491,242,164 AIXBT","854,527,599 AIXBT",
,156,"Theta Fuel
TFUEL",$0.06079,0.30%,5.26%,0.07%,"$415,057,502","$5,061,431
83,632,076 TFUEL","6,827,882,201 TFUEL",
,157,"Dash
DASH",$34.06,0.33%,8.84%,3.21%,"$413,019,130","$55,627,510
1,633,077 DASH","12,127,949 DASH",
,158,"Creditcoin
CTC",$0.9736,0.00%,3.12%,0.75%,"$406,058,979","$11,521,634
11,831,177 CTC","417,084,779 CTC",
,159,"LayerZero
ZRO",$3.68,0.08%,6.79%,6.53%,"$404,993,448","$61,741,039
16,800,605 ZRO","110,000,000 ZRO",
,160,"ORDI
ORDI",$19.22,0.44%,7.53%,3.72%,"$403,680,811","$67,021,596
3,498,946 ORDI","21,000,000 ORDI",
,161,"Blur
BLUR",$0.185,0.83%,7.90%,3.94%,"$401,964,666","$30,989,668
167,547,551 BLUR","2,173,246,781 BLUR",
,162,"Alchemy Pay
ACH",$0.04639,1.11%,28.18%,128.89%,"$400,920,837","$392,614,797
8,462,791,600 ACH","8,641,827,870 ACH",
,163,"Nervos Network
CKB",$0.008583,0.18%,8.76%,8.22%,"$392,722,539","$44,627,757
5,199,833,904 CKB","45,758,337,629 CKB",
,164,"cat in a dogs world
MEW",$0.004393,0.44%,6.05%,10.42%,"$390,481,408","$29,254,734
6,659,525,314 MEW","88,888,888,888 MEW",
,165,"Turbo
TURBO",$0.005606,0.45%,11.07%,4.95%,"$386,815,462","$104,408,305
18,624,315,103 TURBO","69,000,000,000 TURBO",
,166,"Echelon Prime
PRIME",$10.64,2.35%,13.72%,5.52%,"$380,486,110","$10,126,627
951,526 PRIME","35,773,841 PRIME",
,167,"Astar
ASTR",$0.05006,0.45%,6.26%,4.51%,"$376,116,404","$25,179,755
502,951,228 ASTR","7,512,710,337 ASTR",
,168,"Official Melania Meme
MELANIA",$2.17,0.93%,3.33%,20.38%,"$376,122,145","$100,622,581
46,515,988 MELANIA","173,313,414 MELANIA",
,169,"JUST
JST",$0.03761,0.04%,4.43%,0.52%,"$372,294,642","$64,233,348
1,708,082,983 JST","9,900,000,000 JST",
,170,"MX Token
MX",$3.87,0.32%,3.48%,0.26%,"$367,519,553","$35,285,346
9,121,589 MX","94,954,334 MX",
,171,"Holo
HOT",$0.00208,0.44%,7.69%,7.22%,"$363,851,544","$17,781,480
8,558,306,008 HOT","174,967,605,792 HOT",
,172,"io.net
IO",$2.69,0.06%,2.65%,11.04%,"$363,701,149","$119,995,889
44,693,030 IO","135,070,682 IO",
,173,"Zilliqa
ZIL",$0.01862,0.31%,5.47%,5.11%,"$362,616,290","$25,163,235
1,351,160,476 ZIL","19,469,485,640 ZIL",
,174,"0x Protocol
ZRX",$0.4242,0.18%,8.09%,1.58%,"$359,895,033","$54,305,925
128,280,094 ZRX","848,396,563 ZRX",
,175,"ether.fi
ETHFI",$1.60,0.17%,5.35%,5.27%,"$349,875,454","$88,588,457
55,699,545 ETHFI","219,350,940 ETHFI",
,176,"SKALE
SKL",$0.05985,0.06%,4.84%,47.02%,"$344,541,306","$178,899,957
3,007,606,339 SKL","5,756,602,671 SKL",
,177,"Baby Doge Coin
BabyDoge",$0.082082,0.34%,5.75%,5.87%,"$341,081,605","$42,677,439
20,537,574,548,569,184 BABYDOGE","163,712,268,709,493,536 BabyDoge",
,178,"SushiSwap
SUSHI",$1.29,0.51%,10.02%,2.00%,"$339,579,886","$75,793,538
58,922,969 SUSHI","263,641,424 SUSHI",
,179,"Moca Network
MOCA",$0.2084,0.03%,17.07%,18.48%,"$340,536,210","$272,174,475
1,311,710,130 MOCA","1,633,865,250 MOCA",
,180,"Basic Attention Token
BAT",$0.2247,0.18%,7.94%,0.03%,"$336,112,296","$22,514,903
100,220,087 BAT","1,495,658,357 BAT",
,181,"SafePal
SFP",$0.6881,0.23%,2.18%,1.97%,"$335,467,663","$10,672,968
15,519,674 SFP","487,500,000 SFP",
,182,"Aethir
ATH",$0.0541,0.29%,5.81%,5.01%,"$333,889,559","$22,828,746
423,133,318 ATH","6,172,170,394 ATH",
,183,"Popcat (SOL)
POPCAT",$0.339,0.15%,2.31%,38.15%,"$332,219,814","$60,413,141
178,892,378 POPCAT","979,973,185 POPCAT",
,184,"Golem
GLM",$0.3291,0.05%,5.59%,2.49%,"$329,057,567","$17,840,063
54,254,583 GLM","1,000,000,000 GLM",
